,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
558,,DispreferenceFirst,dispreferenceFirst,-0.727802037845706,,,,,1374,bidobe,,496410,,,Voicing,581,b,NonFinal,,
1049,,DispreferenceFirst,dispreferenceFirst,-0.32808398950131235,,,,,3048,tekup,,549420,,,Devoicing,1072,p,Final,,
757,,DispreferenceFirst,dispreferenceFirst_inverse,-0.6622516556291391,,,,,1510,bikupe,,253887,,,Devoicing,780,p,NonFinal,,
344,,DispreferenceFirst,dispreferenceFirst,-0.9775171065493646,,,,,1023,bikub,,128829,,,Voicing,367,b,Final,,
1035,,DispreferenceFirst,dispreferenceFirst,-0.2732987154960372,,,,,3659,dokup,,516976,,,Devoicing,1058,p,Final,,
760,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7057163020465773,,,,,1417,pidope,,258506,,,Devoicing,783,p,NonFinal,,
469,,DispreferenceFirst,dispreferenceFirst,-0.8787346221441125,,,,,1138,todipe,,337350,,,Devoicing,492,p,NonFinal,,
13,,DispreferenceFirst,dispreferenceFirst,-0.8116883116883117,,,,,1232,pigeb,,96737,,,Voicing,36,b,Final,,
708,,DispreferenceFirst,dispreferenceFirst_inverse,-0.5467468562055768,,,,,1829,todib,,165453,,,Voicing,731,b,Final,,
575,,DispreferenceFirst,dispreferenceFirst,-0.5643340857787811,,,,,1772,bikube,,536983,,,Voicing,598,b,NonFinal,,
158,,DispreferenceFirst,dispreferenceFirst,-0.7479431563201197,,,,,1337,bidope,,320825,,,Devoicing,181,p,NonFinal,,
1021,,DispreferenceFirst,dispreferenceFirst,-0.28851702250432776,,,,,3466,dogibe,,477884,,,Voicing,1044,b,NonFinal,,
674,,DispreferenceFirst,dispreferenceFirst_inverse,-0.46490004649000466,,,,,2151,pope,,102985,,,Devoicing,697,p,NonFinal,,
858,,DispreferenceFirst,dispreferenceFirst,-0.5063291139240507,,,,,1975,bugib,,184357,,,Voicing,881,b,Final,,
398,,DispreferenceFirst,dispreferenceFirst,-1.016260162601626,,,,,984,bugib,,229750,,,Voicing,421,b,Final,,
366,,DispreferenceFirst,dispreferenceFirst,-0.6153846153846154,,,,,1625,potib,,169311,,,Voicing,389,b,Final,,
1085,,DispreferenceFirst,dispreferenceFirst,-0.612369871402327,,,,,1633,dokup,,628406,,,Devoicing,1108,p,Final,,
319,,DispreferenceFirst,dispreferenceFirst,-0.7855459544383346,,,,,1273,tekup,,597755,,,Devoicing,342,p,Final,,
940,,DispreferenceFirst,dispreferenceFirst,-0.702247191011236,,,,,1424,potipe,,322292,,,Devoicing,963,p,NonFinal,,
521,,DispreferenceFirst,dispreferenceFirst,-0.5714285714285714,,,,,1750,dokup,,426344,,,Devoicing,544,p,Final,,
896,,DispreferenceFirst,dispreferenceFirst,-0.8795074758135444,,,,,1137,bidope,,252215,,,Devoicing,919,p,NonFinal,,
583,,DispreferenceFirst,dispreferenceFirst,-0.5521811154058531,,,,,1811,pigebe,,548141,,,Voicing,606,b,NonFinal,,
922,,DispreferenceFirst,dispreferenceFirst,-1.0245901639344261,,,,,976,bugib,,293187,,,Voicing,945,b,Final,,
420,,DispreferenceFirst,dispreferenceFirst,-0.8382229673093042,,,,,1193,gutope,,258784,,,Devoicing,443,p,NonFinal,,
698,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8525149190110827,,,,,1173,pidob,,147047,,,Voicing,721,b,Final,,
1093,,DispreferenceFirst,dispreferenceFirst,-0.32393909944930355,,,,,3087,todip,,647703,,,Devoicing,1116,p,Final,,
14,,DispreferenceFirst,dispreferenceFirst,-0.7468259895444361,,,,,1339,pigepe,,98236,,,Devoicing,37,p,NonFinal,,
180,,DispreferenceFirst,dispreferenceFirst,-0.5652911249293386,,,,,1769,dogibe,,354689,,,Voicing,203,b,NonFinal,,
